stature,weightkg,SizeShirt
165.0,68.0,L
167.0,65.0,XL
150.0,53.0,M
167.0,73.0,XL
169.0,76.0,XL
163.0,57.0,L
153.0,59.0,M
156.0,68.0,L
165.0,70.0,L
149.0,48.0,M
177.0,76.0,XXL
154.0,58.0,M
168.0,68.0,XL
160.0,58.0,L
163.0,71.0,L
169.0,64.0,XL
165.0,58.0,L
157.0,64.0,L
165.0,56.0,L
154.0,47.0,M
167.0,59.0,XL
165.0,66.0,L
159.0,64.0,L
156.0,51.0,L
153.0,49.0,M
160.0,74.0,L
161.0,68.0,L
155.0,50.0,M
167.0,59.0,XL
166.0,71.0,XL
169.0,84.0,XXL
165.0,54.0,L
149.0,48.0,M
164.0,61.0,L
165.0,72.0,L
156.0,56.0,L
165.0,68.0,L
160.0,54.0,L
159.0,61.0,L
162.0,67.0,L
172.0,74.0,XXL
160.0,58.0,L
161.0,60.0,L
164.0,60.0,L
162.0,62.0,L
159.0,60.0,L
148.0,47.0,M
169.0,78.0,XL
168.0,72.0,XL
159.0,51.0,L
152.0,50.0,M
155.0,62.0,L
170.0,78.0,XL
158.0,57.0,L
161.0,67.0,L
164.0,53.0,L
158.0,63.0,L
169.0,75.0,XL
155.0,51.0,M
161.0,60.0,L
172.0,70.0,XXL
162.0,78.0,XL
168.0,61.0,XL
158.0,63.0,L
154.0,54.0,M
168.0,61.0,XL
151.0,57.0,M
163.0,67.0,L
152.0,60.0,M
165.0,90.0,XXL
165.0,68.0,L
144.0,68.0,L
161.0,77.0,XL
173.0,64.0,XXL
173.0,108.0,XXXL
176.0,87.0,XXL
166.0,78.0,XL
160.0,84.0,XXL
161.0,66.0,L
160.0,74.0,L
158.0,82.0,XXL
163.0,69.0,L
170.0,69.0,XL
159.0,52.0,L
172.0,78.0,XXL
165.0,66.0,L
159.0,55.0,L
163.0,84.0,XXL
173.0,83.0,XXL
169.0,73.0,XL
159.0,76.0,XL
160.0,63.0,L
164.0,70.0,L
157.0,62.0,L
164.0,60.0,L
161.0,70.0,L
157.0,68.0,L
160.0,63.0,L
162.0,56.0,L
172.0,72.0,XXL
150.0,61.0,L
165.0,61.0,L
161.0,54.0,L
166.0,68.0,XL
167.0,64.0,XL
163.0,63.0,L
158.0,63.0,L
168.0,68.0,XL
166.0,68.0,XL
175.0,75.0,XXL
168.0,85.0,XXL
163.0,58.0,L
160.0,70.0,L
159.0,66.0,L
169.0,75.0,XL
160.0,63.0,L
168.0,67.0,XL
157.0,60.0,L
160.0,61.0,L
155.0,58.0,M
165.0,71.0,L
161.0,60.0,L
163.0,64.0,L
143.0,47.0,S
167.0,75.0,XL
170.0,73.0,XL
167.0,68.0,XL
160.0,62.0,L
159.0,74.0,L
162.0,59.0,L
159.0,64.0,L
156.0,56.0,L
168.0,68.0,XL
174.0,69.0,XXL
167.0,63.0,XL
166.0,72.0,XL
157.0,54.0,L
172.0,65.0,XXL
170.0,70.0,XL
162.0,58.0,L
167.0,73.0,XL
163.0,47.0,L
163.0,58.0,L
171.0,84.0,XXL
170.0,73.0,XL
159.0,60.0,L
164.0,65.0,L
176.0,83.0,XXL
154.0,59.0,M
153.0,69.0,L
159.0,60.0,L
160.0,65.0,L
156.0,55.0,L
158.0,65.0,L
157.0,70.0,L
161.0,68.0,L
158.0,60.0,L
167.0,73.0,XL
170.0,56.0,XL
162.0,56.0,L
167.0,68.0,XL
159.0,66.0,L
162.0,53.0,L
168.0,64.0,XL
168.0,77.0,XL
162.0,56.0,L
167.0,67.0,XL
165.0,60.0,L
158.0,54.0,L
159.0,66.0,L
156.0,74.0,L
167.0,62.0,XL
143.0,58.0,M
171.0,81.0,XXL
158.0,51.0,L
164.0,71.0,L
167.0,60.0,XL
155.0,59.0,M
152.0,63.0,L
161.0,71.0,L
164.0,57.0,L
173.0,71.0,XXL
160.0,54.0,L
140.0,42.0,S
162.0,58.0,L
174.0,82.0,XXL
168.0,74.0,XL
160.0,76.0,XL
165.0,85.0,XXL
159.0,67.0,L
178.0,76.0,XXL
169.0,69.0,XL
165.0,75.0,L
158.0,66.0,L
152.0,48.0,M
168.0,83.0,XXL
167.0,75.0,XL
164.0,78.0,XL
164.0,59.0,L
159.0,76.0,XL
173.0,67.0,XXL
152.0,51.0,M
162.0,66.0,L
164.0,66.0,L
155.0,61.0,L
163.0,72.0,L
161.0,70.0,L
146.0,42.0,M
174.0,72.0,XXL
161.0,76.0,XL
163.0,71.0,L
170.0,79.0,XL
166.0,70.0,XL
158.0,72.0,L
160.0,60.0,L
162.0,80.0,XL
157.0,62.0,L
151.0,76.0,XL
157.0,57.0,L
164.0,63.0,L
165.0,74.0,L
153.0,65.0,L
168.0,63.0,XL
155.0,52.0,M
163.0,76.0,XL
169.0,93.0,XXXL
155.0,66.0,L
162.0,62.0,L
166.0,94.0,XXXL
159.0,64.0,L
154.0,69.0,L
163.0,64.0,L
154.0,52.0,M
162.0,49.0,L
156.0,74.0,L
175.0,85.0,XXL
162.0,77.0,XL
157.0,64.0,L
159.0,72.0,L
154.0,69.0,L
173.0,73.0,XXL
167.0,72.0,XL
167.0,81.0,XXL
160.0,57.0,L
163.0,66.0,L
168.0,80.0,XL
171.0,85.0,XXL
163.0,66.0,L
166.0,70.0,XL
170.0,57.0,XL
162.0,52.0,L
171.0,80.0,XXL
162.0,83.0,XXL
161.0,75.0,L
160.0,61.0,L
166.0,67.0,XL
164.0,70.0,L
167.0,65.0,XL
162.0,71.0,L
172.0,102.0,XXXL
160.0,75.0,L
156.0,65.0,L
172.0,64.0,XXL
163.0,68.0,L
173.0,86.0,XXL
168.0,94.0,XXXL
172.0,63.0,XXL
178.0,106.0,XXXL
164.0,63.0,L
156.0,68.0,L
164.0,63.0,L
155.0,71.0,L
164.0,87.0,XXL
163.0,75.0,L
158.0,85.0,XXL
162.0,82.0,XXL
163.0,55.0,L
164.0,82.0,XXL
160.0,66.0,L
171.0,63.0,XXL
172.0,79.0,XXL
157.0,58.0,L
161.0,76.0,XL
152.0,67.0,L
160.0,54.0,L
161.0,69.0,L
160.0,61.0,L
170.0,85.0,XXL
157.0,58.0,L
159.0,74.0,L
160.0,60.0,L
159.0,69.0,L
163.0,67.0,L
166.0,88.0,XXL
156.0,65.0,L
163.0,82.0,XXL
159.0,55.0,L
162.0,71.0,L
161.0,82.0,XXL
168.0,96.0,XXXL
159.0,62.0,L
156.0,43.0,L
164.0,75.0,L
171.0,55.0,XXL
156.0,57.0,L
157.0,71.0,L
166.0,77.0,XL
160.0,65.0,L
163.0,57.0,L
169.0,84.0,XXL
163.0,67.0,L
163.0,76.0,XL
166.0,66.0,XL
160.0,67.0,L
169.0,70.0,XL
159.0,63.0,L
169.0,64.0,XL
162.0,65.0,L
161.0,78.0,XL
161.0,58.0,L
163.0,58.0,L
171.0,78.0,XXL
151.0,67.0,L
163.0,86.0,XXL
157.0,60.0,L
167.0,95.0,XXXL
166.0,64.0,XL
159.0,61.0,L
160.0,71.0,L
159.0,76.0,XL
161.0,65.0,L
181.0,77.0,XXXL
163.0,73.0,L
163.0,54.0,L
175.0,80.0,XXL
162.0,69.0,L
168.0,64.0,XL
158.0,65.0,L
163.0,87.0,XXL
162.0,58.0,L
163.0,79.0,XL
174.0,76.0,XXL
164.0,57.0,L
160.0,87.0,XXL
160.0,76.0,XL
151.0,54.0,M
165.0,82.0,XXL
