stature,weightkg,SizeShirt
177.0,83.0,L
165.0,73.0,M
174.0,80.0,M
180.0,83.0,L
166.0,66.0,S
182.0,102.0,XXL
185.0,108.0,XXL
179.0,103.0,XXL
180.0,81.0,L
174.0,69.0,M
167.0,81.0,L
178.0,91.0,L
178.0,107.0,XXL
182.0,106.0,XXL
168.0,75.0,M
176.0,86.0,L
168.0,80.0,M
176.0,96.0,XL
173.0,88.0,L
186.0,105.0,XXL
167.0,70.0,M
191.0,125.0,XXXL
173.0,75.0,M
167.0,86.0,L
173.0,76.0,M
180.0,94.0,L
170.0,68.0,S
168.0,81.0,L
177.0,85.0,L
180.0,97.0,XL
180.0,96.0,XL
171.0,71.0,M
174.0,82.0,L
171.0,100.0,XL
182.0,100.0,XL
174.0,85.0,L
186.0,83.0,XL
192.0,111.0,XXL
167.0,81.0,L
176.0,88.0,L
171.0,91.0,L
175.0,117.0,XXL
173.0,103.0,XXL
175.0,121.0,XXXL
168.0,68.0,S
178.0,105.0,XXL
172.0,65.0,S
184.0,95.0,L
176.0,86.0,L
178.0,103.0,XXL
180.0,81.0,L
178.0,97.0,XL
166.0,76.0,M
176.0,97.0,XL
167.0,93.0,L
181.0,96.0,XL
171.0,84.0,L
173.0,89.0,L
170.0,91.0,L
179.0,92.0,L
181.0,119.0,XXL
169.0,75.0,M
178.0,95.0,L
184.0,109.0,XXL
185.0,105.0,XXL
166.0,102.0,XXL
176.0,86.0,L
179.0,99.0,XL
170.0,97.0,XL
187.0,113.0,XXL
178.0,84.0,L
175.0,77.0,M
177.0,84.0,L
167.0,87.0,L
172.0,101.0,XXL
171.0,87.0,L
170.0,76.0,M
169.0,86.0,L
176.0,94.0,L
174.0,101.0,XXL
178.0,87.0,L
180.0,73.0,M
178.0,71.0,M
177.0,99.0,XL
175.0,100.0,XL
159.0,70.0,M
186.0,112.0,XXL
174.0,69.0,M
174.0,76.0,M
179.0,100.0,XL
179.0,103.0,XXL
173.0,103.0,XXL
168.0,65.0,S
173.0,92.0,L
172.0,105.0,XXL
169.0,63.0,S
183.0,67.0,L
185.0,102.0,XXL
172.0,97.0,XL
174.0,75.0,M
170.0,85.0,L
177.0,72.0,M
180.0,87.0,L
180.0,99.0,XL
181.0,94.0,L
188.0,103.0,XXL
175.0,93.0,L
166.0,75.0,M
183.0,85.0,L
182.0,103.0,XXL
182.0,107.0,XXL
178.0,96.0,XL
171.0,96.0,XL
182.0,76.0,L
179.0,71.0,M
169.0,78.0,M
171.0,81.0,L
182.0,76.0,L
184.0,95.0,L
167.0,76.0,M
177.0,100.0,XL
172.0,75.0,M
183.0,92.0,L
172.0,84.0,L
176.0,92.0,L
173.0,91.0,L
169.0,96.0,XL
166.0,79.0,M
180.0,91.0,L
181.0,95.0,L
179.0,114.0,XXL
181.0,114.0,XXL
177.0,69.0,M
182.0,95.0,L
178.0,102.0,XXL
171.0,83.0,L
178.0,108.0,XXL
171.0,84.0,L
179.0,91.0,L
181.0,97.0,XL
176.0,90.0,L
182.0,86.0,L
166.0,59.0,S
182.0,89.0,L
179.0,87.0,L
182.0,100.0,XL
182.0,101.0,XXL
176.0,96.0,XL
177.0,104.0,XXL
181.0,110.0,XXL
183.0,119.0,XXL
184.0,80.0,L
178.0,78.0,M
189.0,74.0,XXL
180.0,125.0,XXXL
189.0,99.0,XXL
160.0,63.0,S
183.0,82.0,L
